"Title","CPI MONTHLY RATE: Services 2015=100"
"CDID","D7MV"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","%"
"Release date","15-11-2023"
"Next release","20 December 2023"
"Important notes",
"1988 FEB","0.4"
"1988 MAR","0.2"
"1988 APR","2.0"
"1988 MAY","0.4"
"1988 JUN","0.3"
"1988 JUL","0.4"
"1988 AUG","0.4"
"1988 SEP","0.7"
"1988 OCT","0.5"
"1988 NOV","0.5"
"1988 DEC","0.1"
"1989 JAN","1.0"
"1989 FEB","0.2"
"1989 MAR","0.3"
"1989 APR","1.6"
"1989 MAY","0.4"
"1989 JUN","0.3"
"1989 JUL","0.5"
"1989 AUG","0.5"
"1989 SEP","0.6"
"1989 OCT","0.7"
"1989 NOV","0.5"
"1989 DEC","0.2"
"1990 JAN","0.9"
"1990 FEB","0.6"
"1990 MAR","0.3"
"1990 APR","2.6"
"1990 MAY","0.8"
"1990 JUN","0.6"
"1990 JUL","0.8"
"1990 AUG","0.5"
"1990 SEP","1.0"
"1990 OCT","0.8"
"1990 NOV","0.4"
"1990 DEC","0.4"
"1991 JAN","1.0"
"1991 FEB","0.3"
"1991 MAR","0.3"
"1991 APR","4.6"
"1991 MAY","0.5"
"1991 JUN","0.4"
"1991 JUL","0.5"
"1991 AUG","0.5"
"1991 SEP","0.6"
"1991 OCT","0.5"
"1991 NOV","0.4"
"1991 DEC","0.1"
"1992 JAN","0.7"
"1992 FEB","0.2"
"1992 MAR","0.2"
"1992 APR","1.9"
"1992 MAY","0.3"
"1992 JUN","0.3"
"1992 JUL","0.3"
"1992 AUG","0.2"
"1992 SEP","0.4"
"1992 OCT","0.3"
"1992 NOV","0.2"
"1992 DEC","0.1"
"1993 JAN","0.5"
"1993 FEB","0.3"
"1993 MAR","0.3"
"1993 APR","1.8"
"1993 MAY","0.2"
"1993 JUN","0.1"
"1993 JUL","0.4"
"1993 AUG","0.3"
"1993 SEP","0.4"
"1993 OCT","0.2"
"1993 NOV","0.2"
"1993 DEC","0.0"
"1994 JAN","0.2"
"1994 FEB","0.1"
"1994 MAR","0.0"
"1994 APR","1.1"
"1994 MAY","0.2"
"1994 JUN","0.2"
"1994 JUL","0.2"
"1994 AUG","0.2"
"1994 SEP","0.3"
"1994 OCT","0.1"
"1994 NOV","0.1"
"1994 DEC","0.2"
"1995 JAN","0.4"
"1995 FEB","0.2"
"1995 MAR","0.1"
"1995 APR","1.1"
"1995 MAY","0.2"
"1995 JUN","0.3"
"1995 JUL","0.0"
"1995 AUG","0.2"
"1995 SEP","0.3"
"1995 OCT","0.1"
"1995 NOV","0.2"
"1995 DEC","0.1"
"1996 JAN","0.3"
"1996 FEB","0.1"
"1996 MAR","0.2"
"1996 APR","0.9"
"1996 MAY","0.3"
"1996 JUN","0.3"
"1996 JUL","0.3"
"1996 AUG","0.2"
"1996 SEP","0.3"
"1996 OCT","0.1"
"1996 NOV","0.2"
"1996 DEC","0.2"
"1997 JAN","0.4"
"1997 FEB","0.2"
"1997 MAR","0.1"
"1997 APR","0.9"
"1997 MAY","0.3"
"1997 JUN","0.3"
"1997 JUL","0.3"
"1997 AUG","0.3"
"1997 SEP","0.3"
"1997 OCT","0.3"
"1997 NOV","0.2"
"1997 DEC","0.1"
"1998 JAN","0.4"
"1998 FEB","0.1"
"1998 MAR","0.1"
"1998 APR","0.9"
"1998 MAY","0.4"
"1998 JUN","0.2"
"1998 JUL","0.3"
"1998 AUG","0.2"
"1998 SEP","0.4"
"1998 OCT","0.2"
"1998 NOV","0.1"
"1998 DEC","0.2"
"1999 JAN","0.3"
"1999 FEB","0.1"
"1999 MAR","0.1"
"1999 APR","0.9"
"1999 MAY","0.3"
"1999 JUN","0.2"
"1999 JUL","0.2"
"1999 AUG","0.2"
"1999 SEP","0.4"
"1999 OCT","0.3"
"1999 NOV","0.2"
"1999 DEC","0.1"
"2000 JAN","0.3"
"2000 FEB","0.1"
"2000 MAR","0.2"
"2000 APR","0.4"
"2000 MAY","0.4"
"2000 JUN","0.2"
"2000 JUL","0.4"
"2000 AUG","0.3"
"2000 SEP","0.5"
"2000 OCT","0.4"
"2000 NOV","0.0"
"2000 DEC","0.1"
"2001 JAN","0.4"
"2001 FEB","0.0"
"2001 MAR","0.2"
"2001 APR","1.3"
"2001 MAY","0.5"
"2001 JUN","0.3"
"2001 JUL","0.6"
"2001 AUG","0.4"
"2001 SEP","-0.2"
"2001 OCT","0.2"
"2001 NOV","-0.1"
"2001 DEC","0.4"
"2002 JAN","0.3"
"2002 FEB","0.1"
"2002 MAR","0.4"
"2002 APR","1.0"
"2002 MAY","0.5"
"2002 JUN","0.6"
"2002 JUL","0.5"
"2002 AUG","0.5"
"2002 SEP","-0.3"
"2002 OCT","0.6"
"2002 NOV","-0.2"
"2002 DEC","1.0"
"2003 JAN","-0.3"
"2003 FEB","0.1"
"2003 MAR","0.2"
"2003 APR","0.8"
"2003 MAY","0.1"
"2003 JUN","0.2"
"2003 JUL","0.7"
"2003 AUG","0.1"
"2003 SEP","0.0"
"2003 OCT","0.4"
"2003 NOV","-0.2"
"2003 DEC","0.6"
"2004 JAN","0.0"
"2004 FEB","0.2"
"2004 MAR","0.2"
"2004 APR","0.7"
"2004 MAY","0.4"
"2004 JUN","0.2"
"2004 JUL","0.7"
"2004 AUG","0.3"
"2004 SEP","-0.3"
"2004 OCT","0.4"
"2004 NOV","0.1"
"2004 DEC","0.8"
"2005 JAN","0.0"
"2005 FEB","0.3"
"2005 MAR","0.2"
"2005 APR","0.8"
"2005 MAY","0.6"
"2005 JUN","0.1"
"2005 JUL","1.1"
"2005 AUG","0.3"
"2005 SEP","-0.4"
"2005 OCT","0.3"
"2005 NOV","-0.2"
"2005 DEC","0.5"
"2006 JAN","0.2"
"2006 FEB","0.1"
"2006 MAR","0.2"
"2006 APR","1.0"
"2006 MAY","0.1"
"2006 JUN","0.2"
"2006 JUL","0.8"
"2006 AUG","0.1"
"2006 SEP","-0.1"
"2006 OCT","0.7"
"2006 NOV","0.0"
"2006 DEC","0.5"
"2007 JAN","0.0"
"2007 FEB","0.3"
"2007 MAR","0.1"
"2007 APR","0.6"
"2007 MAY","0.3"
"2007 JUN","0.3"
"2007 JUL","0.6"
"2007 AUG","0.4"
"2007 SEP","-0.5"
"2007 OCT","0.7"
"2007 NOV","-0.2"
"2007 DEC","0.6"
"2008 JAN","-0.1"
"2008 FEB","0.2"
"2008 MAR","0.4"
"2008 APR","0.9"
"2008 MAY","0.4"
"2008 JUN","0.4"
"2008 JUL","0.9"
"2008 AUG","0.6"
"2008 SEP","-0.2"
"2008 OCT","0.3"
"2008 NOV","0.0"
"2008 DEC","0.7"
"2009 JAN","-0.4"
"2009 FEB","0.2"
"2009 MAR","0.1"
"2009 APR","0.6"
"2009 MAY","0.4"
"2009 JUN","0.1"
"2009 JUL","0.7"
"2009 AUG","0.4"
"2009 SEP","-0.6"
"2009 OCT","0.2"
"2009 NOV","0.0"
"2009 DEC","0.9"
"2010 JAN","0.0"
"2010 FEB","0.2"
"2010 MAR","0.3"
"2010 APR","0.7"
"2010 MAY","0.3"
"2010 JUN","0.5"
"2010 JUL","0.5"
"2010 AUG","0.8"
"2010 SEP","-0.9"
"2010 OCT","0.4"
"2010 NOV","-0.2"
"2010 DEC","1.2"
"2011 JAN","0.2"
"2011 FEB","0.4"
"2011 MAR","0.2"
"2011 APR","1.4"
"2011 MAY","-0.1"
"2011 JUN","0.3"
"2011 JUL","0.7"
"2011 AUG","0.5"
"2011 SEP","-0.5"
"2011 OCT","0.1"
"2011 NOV","-0.1"
"2011 DEC","1.1"
"2012 JAN","-0.4"
"2012 FEB","0.2"
"2012 MAR","0.2"
"2012 APR","1.0"
"2012 MAY","0.2"
"2012 JUN","0.3"
"2012 JUL","0.8"
"2012 AUG","0.4"
"2012 SEP","-0.5"
"2012 OCT","0.9"
"2012 NOV","0.0"
"2012 DEC","0.5"
"2013 JAN","-0.2"
"2013 FEB","0.3"
"2013 MAR","0.2"
"2013 APR","0.5"
"2013 MAY","0.4"
"2013 JUN","0.1"
"2013 JUL","0.6"
"2013 AUG","0.3"
"2013 SEP","-0.2"
"2013 OCT","0.2"
"2013 NOV","-0.1"
"2013 DEC","0.4"
"2014 JAN","-0.3"
"2014 FEB","0.2"
"2014 MAR","0.2"
"2014 APR","1.0"
"2014 MAY","-0.1"
"2014 JUN","0.4"
"2014 JUL","0.6"
"2014 AUG","0.4"
"2014 SEP","-0.5"
"2014 OCT","0.3"
"2014 NOV","-0.2"
"2014 DEC","0.3"
"2015 JAN","-0.3"
"2015 FEB","0.3"
"2015 MAR","0.1"
"2015 APR","0.6"
"2015 MAY","0.2"
"2015 JUN","0.3"
"2015 JUL","0.7"
"2015 AUG","0.3"
"2015 SEP","-0.3"
"2015 OCT","0.1"
"2015 NOV","0.0"
"2015 DEC","0.7"
"2016 JAN","-0.8"
"2016 FEB","0.4"
"2016 MAR","0.6"
"2016 APR","0.2"
"2016 MAY","0.4"
"2016 JUN","0.4"
"2016 JUL","0.6"
"2016 AUG","0.4"
"2016 SEP","-0.5"
"2016 OCT","-0.1"
"2016 NOV","-0.2"
"2016 DEC","1.0"
"2017 JAN","-0.7"
"2017 FEB","0.6"
"2017 MAR","0.0"
"2017 APR","1.1"
"2017 MAY","0.1"
"2017 JUN","0.3"
"2017 JUL","0.5"
"2017 AUG","0.5"
"2017 SEP","-0.5"
"2017 OCT","-0.2"
"2017 NOV","0.0"
"2017 DEC","0.7"
"2018 JAN","-0.4"
"2018 FEB","0.2"
"2018 MAR","0.1"
"2018 APR","0.7"
"2018 MAY","0.4"
"2018 JUN","0.3"
"2018 JUL","0.5"
"2018 AUG","0.7"
"2018 SEP","-0.6"
"2018 OCT","-0.1"
"2018 NOV","0.0"
"2018 DEC","0.6"
"2019 JAN","-0.4"
"2019 FEB","0.2"
"2019 MAR","0.1"
"2019 APR","1.1"
"2019 MAY","0.0"
"2019 JUN","0.3"
"2019 JUL","0.5"
"2019 AUG","0.5"
"2019 SEP","-0.3"
"2019 OCT","0.0"
"2019 NOV","-0.1"
"2019 DEC","0.2"
"2020 JAN","-0.2"
"2020 FEB","0.4"
"2020 MAR","0.1"
"2020 APR","0.6"
"2020 MAY","0.0"
"2020 JUN","0.1"
"2020 JUL","0.8"
"2020 AUG","-1.0"
"2020 SEP","0.5"
"2020 OCT","-0.1"
"2020 NOV","0.0"
"2020 DEC","0.3"
"2021 JAN","0.0"
"2021 FEB","0.2"
"2021 MAR","0.1"
"2021 APR","0.6"
"2021 MAY","0.3"
"2021 JUN","0.3"
"2021 JUL","0.3"
"2021 AUG","0.4"
"2021 SEP","0.0"
"2021 OCT","0.6"
"2021 NOV","0.1"
"2021 DEC","0.4"
"2022 JAN","-0.1"
"2022 FEB","0.4"
"2022 MAR","0.7"
"2022 APR","1.3"
"2022 MAY","0.4"
"2022 JUN","0.7"
"2022 JUL","0.8"
"2022 AUG","0.6"
"2022 SEP","0.2"
"2022 OCT","0.7"
"2022 NOV","0.2"
"2022 DEC","0.8"
"2023 JAN","-0.9"
"2023 FEB","1.0"
"2023 MAR","0.7"
"2023 APR","1.6"
"2023 MAY","0.8"
"2023 JUN","0.5"
"2023 JUL","1.0"
"2023 AUG","0.0"
"2023 SEP","0.3"
"2023 OCT","0.4"
